,Genero,Tipo,Título,Año de estreno,Mes de estreno,ID
326,Drama,Short,2 on U,2000,8.0,tt0364911
327,Drama,Short,Ramon,2000,10.0,tt0368195
328,Drama,Short,Nail in My Coffin,2000,3.0,tt0368057
329,Drama,Short,Il mio umore,2000,5.0,tt0368032
330,Drama,Short,A Fisherman's Lament,2000,,tt0367738
331,Drama,Short,Sans sommeil,2000,12.0,tt0368240
332,Drama,Short,Saman auringon alla,2000,11.0,tt0368238
333,Drama,Short,Journey Through the Night,2000,,tt0366646
334,Drama,Short,Survival of the Fittest,2000,,tt0368316
335,Drama,Short,¿Qué hacemos con Pablito?,2000,,tt0367265
336,Drama,Short,When I Was Seven,2000,3.0,tt0367225
337,Drama,Short,2 1/2 Minutes of Pleasure,2000,12.0,tt0367455
338,Drama,Short,Gauze,2000,11.0,tt0367771
339,Drama,Short,Jasmine & Daffodil,2000,,tt0370804
340,Drama,Short,Running Away,2000,4.0,tt0371147
341,Drama,Short,Turbans,2000,4.0,tt0370024
342,Drama,Short,Soleil glacé,2000,,tt0369949
343,Drama,Short,"Un veau pleurait, la nuit",2000,,tt0370037
344,Drama,Short,12 Rounds,2000,6.0,tt0372108
345,Drama,Short,Ernesto,2000,,tt0372895
346,Drama,Short,Marietta,2000,12.0,tt0374026
347,Drama,Short,La crónica,2000,,tt0376549
348,Drama,Short,Skymaskinen,2000,,tt0376191
349,Drama,Short,Luka,2000,8.0,tt0378274
350,Drama,Short,Mortality,2000,7.0,tt0378383
351,Drama,Short,Gilmour,2000,5.0,tt0380388
352,Drama,Short,La noche con Orgalia,2000,,tt0382875
353,Drama,Short,Delivered,2000,8.0,tt0384912
354,Drama,Short,Crashing by Design,2000,9.0,tt0383287
355,Drama,Short,Blood River,2000,9.0,tt0383930
356,Drama,Short,Holiday with George,2000,6.0,tt0385755
357,Drama,Short,Betty Anderson,2000,11.0,tt0386324
358,Drama,Short,186 Days,2000,1.0,tt0387003
359,Drama,Short,The Visit,2000,12.0,tt0389512
360,Drama,Short,Full Frontal,2000,4.0,tt0390027
361,Drama,Short,She's Racing,2000,,tt0389372
362,Drama,Short,The Prom Queen,2000,6.0,tt0391406
363,Drama,Short,Miracle,2000,6.0,tt0392454
364,Drama,Short,Cavalheiros,2000,11.0,tt0393133
365,Drama,Short,Lighthouse,2000,10.0,tt0395195
366,Drama,Short,12x12,2000,4.0,tt0395422
367,Drama,Short,What to Do When I'm Dead,2000,,tt0398387
368,Drama,Short,Tilfældets rapsodi,2000,,tt0399766
369,Drama,Short,The Spaceman,2000,10.0,tt0399680
370,Drama,Short,Amour amenic,2000,6.0,tt0400169
371,Drama,Short,Un hiver de plus,2000,,tt0401853
372,Drama,Short,À ciel ouvert,2000,,tt0401906
373,Drama,Short,Melt,2000,8.0,tt0404230
374,Drama,Short,L'embellie,2000,,tt0406601
375,Drama,Short,Necessary Action,2000,6.0,tt0407039
376,Drama,Short,Mean Anything,2000,7.0,tt0406988
377,Drama,Short,Missing Home,2000,6.0,tt0407006
378,Drama,Short,Asleep,2000,6.0,tt0407539
379,Drama,Short,Slice of Life,2000,,tt0408194
380,Drama,Short,My Life in Clothes,2000,8.0,tt0408021
381,Drama,Short,The Kiss,2000,,tt0410166
382,Drama,Short,Three Man March,2000,10.0,tt0410758
383,Drama,Short,Will You Be My Victim?,2000,9.0,tt0410908
384,Drama,Short,A Thousand Miles,2000,12.0,tt0411961
385,Drama,Short,Keepers,2000,,tt0412889
386,Drama,Short,Stompie and the Red Tide,2000,6.0,tt0413314
387,Drama,Short,Sotilas,2000,,tt0414536
388,Drama,Short,The XTerminator,2000,1.0,tt0416324
389,Drama,Short,Big,2000,,tt0416549
390,Drama,Short,Del Fuego,2000,10.0,tt0416677
391,Drama,Short,A Small Piece of Paradise,2000,,tt0417147
392,Drama,Short,Scooter Mum,2000,1.0,tt0420887
393,Drama,Short,Gas-Station,2000,5.0,tt0421205
394,Drama,Short,Things Left Unsaid,2000,8.0,tt0418237
395,Drama,Short,L'Être chair,2000,,tt0419290
396,Drama,Short,Mountain Cry,2000,9.0,tt0419980
397,Drama,Short,Nada,2000,,tt0425282
398,Drama,Short,Trammelant,2000,,tt0423402
399,Drama,Short,Flame and the Beggar Boy,2000,,tt0425020
400,Drama,Short,Silmät kiinni ilman käsiä,2000,4.0,tt0427864
401,Drama,Short,Un ojo al gato y otro al garabato,2000,,tt0430424
402,Drama,Short,Perlekæden,2000,,tt0428964
403,Drama,Short,La linea,2000,,tt0431228
404,Drama,Short,El guardadito,2000,,tt0430160
