,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
179,Vincent Alvas,Desconocido,"['The Institute', '3:13 Three Thirteen', 'Dark Hours: Typee']","['Reparto', 'Producción', 'Dirección']",1 premio,--
180,Nicholas D. Johnson,Desconocido,"['Consequential', 'The Hardest Thing to Earn', 'God, Grant Me', 'No Offense']",['Reparto'],3 premios y 6 nominaciones,--
181,Craig Randall Fleming,Desconocido,"['The Conspiracy Connection', 'Dead Silence', 'Where Do the Balloons Go?', 'My Haunted House']",['Reparto'],Desconocido,--
182,Christopher Lloyd Dennis,Desconocido,"['Not Now John', 'Gene Simmons, ¡vaya joya de familia!', 'American Superman', 'A Noisy Delivery']",['Reparto'],Desconocido,--
183,Paul Louis Harrell,Desconocido,"['Daria', 'The Greed of Men', 'Soundwave', 'Tell Gordon Hello']","['Reparto', 'Producción', 'Guion']",1 premio y 1 nominación,--
184,Franco Nero,1941,"['John Wick: Pacto de sangre', 'Django desencadenado', 'Django', 'La jungla 2 (Alerta roja)']","['Reparto', 'Producción', 'Guion']",31 premios y 9 nominaciones,--
185,Amaya Juan,Desconocido,['Burros'],['Reparto'],1 premio,--
186,Zuemmy Carrillo,Desconocido,['Burros'],['Reparto'],1 premio,--
187,Virginia Patricio,Desconocido,['Burros'],['Reparto'],1 premio,--
188,Rupert Lopez,Desconocido,['Burros'],['Reparto'],1 premio,--
189,Armondo 'Mondo' Gonzales,Desconocido,['Burros'],['Reparto'],1 premio,--
190,Michael Geronimo,Desconocido,['Burros'],['Reparto'],1 premio,--
191,Carlos Chico,Desconocido,['Burros'],['Reparto'],1 premio,--
