,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
113,Jeromy Mumba,Desconocido,"['Helping Chalo', 'Mushala', 'Tikula', 'Saving Chalo']",['Actor'],Desconocido,--
114,Rebecca Mumba,Desconocido,['Saving Chalo'],['Actress'],Desconocido,--
115,Kelvin Mwansa,Desconocido,"['Helping Chalo', 'City on Fire', 'Saving Chalo']",['Actor'],Desconocido,--
116,Angela Nachilongo,Desconocido,"['Can You See Us?', 'Saving Chalo']",['Actress'],Desconocido,--
117,Eveline Phiri,Desconocido,['Saving Chalo'],['Actress'],Desconocido,--
118,Michael Phiri,Desconocido,"['Helping Chalo', 'Saving Chalo']",['Actor'],Desconocido,--
119,Mfaweli Tau,Desconocido,"['Mindset', 'Helping Chalo', 'Dalitso', 'Saving Chalo']","['Actress', 'Director', 'Writer']",Desconocido,--
120,Sydney Tembo,Desconocido,['Saving Chalo'],['Actor'],Desconocido,--
121,Dolma Renqing,Desconocido,['The Taste of Cloud'],['Actress'],Desconocido,--
122,Zabai Choarahzatso,Desconocido,"['The Taste of Cloud', 'A Letter to My Sister']",['Actress'],Desconocido,--
123,Nina Gabriela,Desconocido,"['Jack Stall Dead', 'Calma', 'Jack Stall Dead', 'The Two Queems']","['Actress', 'Director', 'Writer']",Desconocido,--
124,Rhiannon Hubbard,Desconocido,['The Two Queems'],['Actress'],Desconocido,--
125,Gabriella Papera,Desconocido,['Sunflower'],['Actress'],Desconocido,--
126,Elijah Hawkins,Desconocido,"['The Simple Life of being a Sunflower', 'Small Hours of the Night', 'All Units Be Advised', 'Ride']",['Actor'],Desconocido,--
127,Erica Hurley,Desconocido,"['Bell Witch Haunting', 'Porcelain', 'Ride', 'Dancers']",['Actress'],Desconocido,--
128,Marc Carlson,Desconocido,"['Ride', 'Tulsa: The Fire and the Forgotten']",['Actor'],Desconocido,--
129,Daniel Lawson,Desconocido,"['Heart Cold', 'Cost Effective', 'Zinnia', 'Ride']",['Actor'],Desconocido,--
130,Erly Scott,Desconocido,"['Ride', 'Generation Hope']",['Actress'],Desconocido,--
131,Angus Sewell,Desconocido,['Ride'],['Actor'],Desconocido,--
132,Alejandro Cuevas,Desconocido,['Dolor Ajeno'],['Actor'],Desconocido,--
133,Eva Palacios,Desconocido,['Dolor Ajeno'],['Actress'],Desconocido,--
134,Raquel Romero,Desconocido,"['Hospital Central', '¿Estás ahí?', 'El club de los suicidas', 'El tiempo de Plácido Meana']",['Actress'],Desconocido,--
135,Fernando Bonat,Desconocido,"['La Balada Perdida', 'La vida sin ti', 'Histeria', 'Pecados diarios']","['Actor', 'Writer', 'Producer']",Desconocido,--
136,Iván Fedriani,Desconocido,"['Más Allá del Pasillo', 'Unfinished Affairs', 'La vida sin ti', 'Ninguna parte']",['Actor'],Desconocido,--
137,Rafael Flores,Desconocido,"['El Cuervo', 'La vida sin ti', 'Insatisfyer', 'Histeria']",['Actor'],Desconocido,--
138,Mara Mateos,Desconocido,['Histeria'],['Actress'],Desconocido,--
139,Isa Mesa,Desconocido,['Histeria'],['Actress'],Desconocido,--
140,Sarah Castro,Desconocido,"['Culprit', 'Akemarropa', 'Histeria', 'Lamer, tragar, gritar y no sé cuantas cosas más']",['Actress'],Desconocido,--
141,Cristina Sancho,Desconocido,['Histeria'],['Actress'],Desconocido,--
142,Anna Bajger,Desconocido,['Alpha Girls'],['Actress'],Desconocido,--
143,Laurine Catillon,Desconocido,"['Alpha Girls', 'Photographe', 'InstaGrimmable', 'Avez vous donc une âme']",['Actress'],Desconocido,--
144,Elodie Ching,Desconocido,['Alpha Girls'],['Actress'],Desconocido,--
145,Ulysse Humblot,Desconocido,['Alpha Girls'],['Actor'],Desconocido,--
146,Roxane Lossy,Desconocido,"['Alpha Girls', 'A Un Passant', 'Et après toi?']","['Actress', 'Second Unit Director or Assistant Director', 'Location Management']",Desconocido,--
