,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
245,Táta Jubé,Desconocido,"['Tieta', 'Vaidade', 'Cego e Amigo Gedeão à Beira da Estrada']",['Actress'],Desconocido,--
246,Carlito Marchon,Desconocido,['Cego e Amigo Gedeão à Beira da Estrada'],['Actor'],Desconocido,--
247,Edmílson Santini,Desconocido,"['Reaching for the Moon', 'Bela Noite Para Voar', 'Cute, But Ordinary', 'A Very Nutty Boy']",['Actor'],Desconocido,--
248,Eric Atallah,Desconocido,['An Epidemic of Masturbatory Proportions'],['Actor'],Desconocido,--
249,David Colley,Desconocido,"['How My Dad Killed Dracula', ""As If You're Dead"", ""Daniel's Spark"", 'An Epidemic of Masturbatory Proportions']","['Actor', 'Producer']",Desconocido,--
250,Kassie Pinegar,1995,"['Elizabethtown', 'An Epidemic of Masturbatory Proportions', 'Like a Brother']",['Actress'],Desconocido,--
251,Kimberly Stanphill,9,"['The Last Bid', 'The O.C.', 'The Last Ride', 'Beastmaster III: The Eye of Braxus']","['Actress', 'Casting Department']",Desconocido,--
252,Trayne Thomas,Desconocido,"['Perversions of Science', ""The Sky's on Fire"", 'The Fantasticks', 'Wildly Available']",['Actor'],Desconocido,--
253,Tina Woodhull,Desconocido,"['Blackout', 'Intercourse with a Vampire', 'An Epidemic of Masturbatory Proportions', 'Shank']","['Additional Crew', 'Actress']",Desconocido,--
254,Antonio De Matteo,1978,"[""Ocean's Twelve"", 'Medici', 'Mia', 'Leonardo']",['Actor'],Desconocido,--
