,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
96,Melissa Karim,1978,"['A World Without', 'Gossip Girl Indonesia', 'Skakmat', 'Love for Share']","['Actress', 'Writer', 'Second Unit Director or Assistant Director']",Desconocido,--
97,Tio Pakusadewo,1963,"['The Raid 2', 'Letters from Prague', 'Quickie Express', 'Identitas']","['Actor', 'Music Department']",2 wins & 15 nominations,--
98,Rudolph Angelo Ratulangi,Desconocido,"['Gara-Gara Bola', 'Quickie Express', 'The Year of Living Vicariously', 'Gossip Girl Indonesia']","['Actor', 'Cinematographer']",Desconocido,--
99,Tino Saroengallo,Desconocido,"['Pantja Sila: Cita-Cita & Realita', 'Blackhat', 'The Fall', 'Eat Pray Love']","['Actor', 'Producer', 'Production Manager']",1 win & 1 nomination,--
100,Tino Saroenggallo,Desconocido,"['Fishing Platform', 'The Forbidden Door', 'Quickie Express', 'MBA: Married by Accident']","['Actor', 'Location Management', 'Production Manager']",Desconocido,--
101,Ira Maya Sopha,1968,"['Quickie Express', 'Love for Share', 'Claudia/Jasmine', 'Ira Maya Putri Cinderella']",['Actress'],3 nominations,--
102,David Carreno,Desconocido,"['A Place Among the Dead', 'The Craving Heart', 'The Vigilante', 'El percance perfecto']","['Actor', 'Producer']",1 win,--
103,Sebastian Eslava,Desconocido,"['Pepe Caceres', 'Herencia', 'La niña', 'Pablo']","['Actor', 'Producer', 'Writer']",1 win,--
104,Monique Barajas,Desconocido,"['Trophy Wife', 'Latin Dragon', 'El percance perfecto', 'Scorpion']","['Actress', 'Producer']",Desconocido,--
105,Maria Forero,Desconocido,"['Kill Speed', 'Bloom', 'El percance perfecto', 'El Superstar: The Unlikely Rise of Juan Frances']",['Actress'],1 nomination,--
106,Stefanie Chapman,Desconocido,"['El percance perfecto', 'Gilded Cage', 'Creed', 'Bred in the Bone']",['Actress'],Desconocido,--
107,Vanessa Herrera,Desconocido,"['El percance perfecto', 'Justice on the Border', 'Fast Choices', 'SinVerguenzas']","['Actress', 'Second Unit Director or Assistant Director']",1 win,--
108,Maria Musebrink,Desconocido,"['El percance perfecto', 'Aram, Aram', 'Armenia, My Love...', 'Bite Me']",['Actress'],Desconocido,--
109,Bob Kunkel,Desconocido,['FreeLance'],['Actor'],Desconocido,--
