,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
162,Dan John Miller,Desconocido,"['Walk the Line', 'The End of the Tour', 'Leatherheads', 'My One and Only']","['Actor', 'Director', 'Composer']",1 win,--
163,Alex Alexandrou,Desconocido,"['The Lantern', 'Pack Co.']",['Actor'],Desconocido,--
164,Ryan Carlson,Desconocido,['Pack Co.'],['Actor'],Desconocido,--
165,Anne Damon,Desconocido,"['Pack Co.', 'Frontline']",['Actress'],Desconocido,--
166,Mike Tremblay,Desconocido,"['My Step Kidz Sitcom 2', 'Pack Co.']",['Actor'],Desconocido,--
167,Emily Schmalhofer,Desconocido,"['Love Chum', 'Skunked']","['Actress', 'Producer']",Desconocido,--
168,Connor Witt,Desconocido,['Love Chum'],['Actor'],Desconocido,--
169,Solomon Astley,Desconocido,"['Pater Mater', 'Soul Mates', 'Oak Bottom', 'Company Meeting']","['Actor', 'Director', 'Producer']",Desconocido,--
170,Kyla Jarrett,Desconocido,"['Have a Grate Day', 'Cabin in the Woods', 'Soul Mates', 'Happy']","['Actor', 'Director', 'Producer']",Desconocido,--
171,Jesse Whitten,Desconocido,"['Soul Mates', 'Lone Wolves Die Alone']","['Actor', 'Producer']",Desconocido,--
172,Todd Muse,Desconocido,"['Bronze Dopamine & DickISSS', 'Compromising Situations']","['Art Department', 'Actor', 'Writer']",Desconocido,--
173,Dechris Strong,Desconocido,['Bronze Dopamine & DickISSS'],"['Actor', 'Writer']",Desconocido,--
174,Pedro García Aguado,Desconocido,"['42 segundos', 'La clase de recuperación de El Internado Las Cumbres', 'Candela', 'Hermano mayor']","['Actor', 'Producer']",1 nomination,--
175,Dakota Tarraga,1994,"['La clase de recuperación de El Internado Las Cumbres', 'Mujeres y hombres y viceversa', 'Supervivientes: Perdidos en Honduras', 'Hermano mayor']",['Actress'],Desconocido,--
176,Saray Carrillo,Desconocido,"['La clase de recuperación de El Internado Las Cumbres', 'Casados a primera vista', 'MasterChef']",['Actress'],Desconocido,--
177,Omar Montes,1988,"['C. Tangana, Omar Montes, Daviles de Novelda & Canelita: La Culpa', 'Father There Is Only One 3', 'Omar Montes, Bad Gyal: Alocao', 'Una vida de mierda']","['Actor', 'Composer', 'Soundtrack']",1 nomination,--
178,Francisco Nicolás,Desconocido,"['Una vida de mierda', 'Juancar, ¿qué te pasa?', 'La clase de recuperación de El Internado Las Cumbres', '¡Qué tiempo tan feliz!']",['Actor'],Desconocido,--
179,Nolan Khai,Desconocido,['Remotewatch'],['Actor'],Desconocido,--
180,Chloe Leis,Desconocido,"['Remotewatch', 'The Stardust Motel', 'Outlaw Posse', 'The Company of Thieves']","['Actor', 'Visual Effects', 'Camera and Electrical Department']",Desconocido,--
181,Anne Schröder,Desconocido,"['Klassenfahrt', 'Your Chicken Died of Hunger', 'Um die 30', 'Starfly']","['Actress', 'Producer', 'Director']",Desconocido,--
182,Julia Syczewa,Desconocido,"['Remotewatch', 'League of Legends: More Than a Game']",['Actress'],Desconocido,--
