,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
936,7.5,['Renee Williams'],DESCONOCIDO,"TRACES OF INDIGNITY follows an accomplished Author, Public Speaker, Wife and Mother who has achieved much fame and fortune by focusing on family, sharing knowledge and wisdom of success and encouraging others to always do the right thing and good things will come to you. Dr. Augusta Weber has traveled the world over promoting her books and DVDs and selling out public ... Read all",1h 18m,Traces of Indignity
937,7.1,['Joe Shanks'],DESCONOCIDO,Not Your Ordinary Day in the Park.,1h 23m,Take Me Out
938,7.3,['Caroline Link'],"['Ruth Toma', 'Hape Kerkeling', 'Caroline Link']",Dramatised origin story of one of Germany's most beloved contemporary comedians.,1h 40m,All About Me
939,3.9,['Federico Alotto'],"['Federico Alotto', 'Andrea Zirio']","United States of Europe is established 2020. Back from war in the Middle East, amnesiac Ulysses goes thru a lot in Taurus City, a dictatorship, looking for his wife, Penelope.",1h 55m,Ulysses: A Dark Odyssey
940,6.3,['Rob Burrows'],DESCONOCIDO,Sam looks forward to happy family life with girlfriend Jennifer and rediscovered teenage son Mark. But things get a little complicated when his best friend Jonathan becomes a zombie.,1h 36m,Train Set
941,7.5,['George Tillman Jr.'],"['Audrey Wells', 'Angie Thomas']","Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.",2h 13m,The Hate U Give
942,5.9,['Ryan Koo'],DESCONOCIDO,A young basketball future star struggles with his personal life in pursuit of his dream.,1h 36m,Amateur
943,--,['Zach Churnetski'],"['Zach Churnetski', 'Brian Lombardi', 'Zane Shaw']","A boy is cursed from birth in which, any time somebody in his life loves him, they will die tragically.",--,Apathize Me
944,3.1,['Leandre Fiori'],DESCONOCIDO,"A prominent video director learns the hard way, that some women are best left unscorned after the news of his adulterous affair inadvertently causes his girlfriend's alter ego to reemerge after years of dormancy.",1h 33m,SheChotic
945,5.0,['Ray Xue'],"['Matthew Abrams', 'Padgett Arango']","Miriam, Derek, Ian, and Jenny are overachieving high school students doing everything by the book. Straight A's, sports, yearbook, band, and - when coursework allows - planning and executing elaborate murders.",1h 30m,Extracurricular
