,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
98,Leah Adcock,Desconocido,"['Chiller Cinema', 'Thong Girl 2: The Return of the Thong', 'Thong Girl 3: Revenge of the Dark Widow', 'Thong Girl']",['Reparto'],Desconocido,--
99,Alexandra Alvarez,Desconocido,['The Joker in Jury Duty'],['Reparto'],Desconocido,--
100,Rob Narita,Desconocido,"['Contacto en California', 'Mi hijo favorito', 'Colombo', 'Anatomía de Grey']",['Reparto'],Desconocido,--
101,Brandon Parrish,1979,"['Kate & Leopold', ""Whyte Noyz: God's Got My Back"", 'Whyte Noyz: Threw It on the Ground', 'The Fur Is Gone']","['Reparto', 'Guion', 'Dirección']",Desconocido,--
102,Curtis Rainsberry,Desconocido,"['Femmebot PhD', 'The UCB Show', 'The Midnight Show', 'Patriots & Porridge']","['Reparto', 'Guion', 'Dirección']",Desconocido,--
103,Kenny Rose,Desconocido,['The Joker in Jury Duty'],['Reparto'],Desconocido,--
104,Chadd Stoops,Desconocido,"['Louder Than Words', 'The Precipice', 'The Joker in Jury Duty', 'Cherriest Jam']","['Reparto', 'Guion', 'Producción']",Desconocido,--
105,Tiffany Walker,Desconocido,"['Lipgloss Explosion!', 'Fashion Murder Groove', 'Superstar Female Serial Killer', 'Springtime in Hell']",['Reparto'],Desconocido,--
106,Lucas Boyle,Desconocido,"['Phoenix Vice', 'Phoenix Takedown: Ninja Terrorists from the Border', 'A Kidnapping to Remember', 'Desolate Quest']","['Producción', 'Reparto', 'Guion']",Desconocido,--
107,J.D. Smith,Desconocido,"['Calabrese: Backseat of my Hearse', 'Blood Moon Rising', 'Phoenix Vice', 'To Hell We Ride']","['Cámara y electricidad', 'Reparto', 'Sonido']",Desconocido,--
108,Robert L. Hudson,Desconocido,"['Phoenix Vice', 'Cold of December', 'The Sound of Midnight', 'A Kidnapping to Remember']","['Reparto', 'Producción', 'Diseño de producción']",Desconocido,--
109,Aaron Hudson,Desconocido,"['Sticky Fingers', 'Phoenix Vice', 'The Sound of Midnight', 'Phoenix Takedown: Ninja Terrorists from the Border']","['Dirección de fotografía y cámara', 'Edición', 'Dirección']",Desconocido,--
110,Dave VanSickle,Desconocido,"['Deep Sleep', 'Phantom Reflection', 'Sticky Fingers', 'Zombies Are My Neighbors']","['Reparto', 'Guion', 'Edición']",Desconocido,--
111,Habib Kadi,1973,"['Arapski', 'Dernier round. Brûler la mer (Cremar la mar)', 'Marrakech du rire', 'Ensemble']","['Reparto', 'Guion']",1 nominación,--
112,Eve-Marie Jadoul,Desconocido,['La cavale épique de Paolo Zappa'],['Reparto'],Desconocido,--
113,Boubou Fadiga,Desconocido,['La cavale épique de Paolo Zappa'],['Reparto'],Desconocido,--
114,Florian Amalric,Desconocido,[],[],Desconocido,--
115,Daniel Brunetti,Desconocido,['La cavale épique de Paolo Zappa'],['Reparto'],Desconocido,--
